"Mark","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Land","Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"Diesel","Automatic","First",12.7,2179,187.7,5,27
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"Diesel","Automatic","First",14.84,2143,167.62,5,28
"Audi","Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"Petrol","Automatic","First",13.53,1984,177.01,5,23.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"Diesel","Automatic","First",11.74,2987,254.8,5,28
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"Diesel","Automatic","First",17.11,1968,174.33,5,21.43
"Mercedes-Benz","Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"Petrol","Automatic","First",11.74,1796,186,5,26.7
"Mercedes-Benz","Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"Diesel","Automatic","First",12.6,1950,194,5,35.67
"Audi","Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel","Automatic","Second",18.53,1968,187.74,5,29.5
"Audi","Audi A6 2011-2015 35 TDI Premium","Coimbatore",2018,48367,"Diesel","Automatic","First",17.68,1968,174.33,5,39.58
"Jaguar","Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad",2011,78000,"Diesel","Automatic","Second",14.74,2993,270.9,5,24
"BMW","BMW 3 Series 320d Luxury Line","Mumbai",2015,56087,"Diesel","Automatic","First",22.69,1995,190,5,20.75
"Volvo","Volvo V40 Cross Country D3","Bangalore",2014,32700,"Diesel","Automatic","First",23.3,1984,150,5,20
"Mercedes-Benz","Mercedes-Benz SLC 43 AMG","Kolkata",2017,13372,"Petrol","Automatic","First",19,2996,362.07,2,54
"Audi","Audi RS5 Coupe","Mumbai",2013,23000,"Petrol","Automatic","First",11.05,2894,444,4,37
"BMW","BMW 3 Series Luxury Line","Mumbai",2014,48000,"Diesel","Automatic","First",21.76,1995,190,5,26.5
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"Diesel","Automatic","First",17.11,1968,174.33,5,23.32
"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 S 500","Kolkata",2010,35277,"Petrol","Automatic","First",7.81,5461,362.9,5,30
"BMW","BMW X5 xDrive 30d","Mumbai",2015,41000,"Diesel","Automatic","First",15.3,2993,258,5,45
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore",2017,23550,"Diesel","Automatic","First",19.27,2143,167.62,5,33.66
"Mercedes-Benz","Mercedes-Benz GLC 220","Bangalore",2016,44414,"Diesel","Automatic","First",17.9,2143,170,5,42.5
"Mini","Mini Countryman Cooper D","Jaipur",2017,8525,"Diesel","Automatic","Second",16.6,1998,112,5,23
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2014,40000,"Diesel","Automatic","First",17.68,1968,174.33,5,22.95
"BMW","BMW 5 Series 520d Luxury Line","Hyderabad",2014,51000,"Diesel","Automatic","First",22.48,1995,190,5,33.5
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Bangalore",2014,37382,"Diesel","Automatic","First",13,2143,201.1,5,32
"Land","Land Rover Range Rover 2.2L Dynamic","Coimbatore",2018,36091,"Diesel","Automatic","First",12.7,2179,187.7,5,55.76
"Audi","Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Delhi",2015,64103,"Diesel","Automatic","First",15.73,1968,174.33,5,19.9
"Audi","Audi A8 L 3.0 TDI quattro","Delhi",2012,56000,"Diesel","Automatic","First",11.8,2967,246.7,5,45
"Skoda","Skoda Superb Style 1.8 TSI AT","Hyderabad",2017,26000,"Petrol","Automatic","First",14.67,1798,177.46,5,26
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,29161,"Diesel","Automatic","First",19.27,2143,167.62,5,39.41
"Mini","Mini Cooper Convertible S","Kochi",2017,26327,"Petrol","Automatic","First",16.82,1998,189.08,4,35.67
"Hyundai","Hyundai Tucson 2.0 e-VGT 2WD AT GLS","Kochi",2018,51346,"Diesel","Automatic","First",16.38,1995,183,5,21.99
"Mercedes-Benz","Mercedes-Benz GLE 350d","Coimbatore",2017,29819,"Diesel","Automatic","First",11.57,2987,254.79,5,61.29
"BMW","BMW X3 xDrive30d M Sport","Coimbatore",2017,51982,"Diesel","Automatic","First",16.55,2993,258,5,45.77
"Audi","Audi Q7 3.0 TDI Quattro Technology","Kochi",2018,11287,"Diesel","Automatic","First",12.07,2967,241.4,7,70.36
"BMW","BMW 5 Series 2003-2012 520d","Pune",2015,64000,"Diesel","Automatic","First",18.48,1995,177,5,28
"Toyota","Toyota Innova Crysta 2.4 ZX MT","Chennai",2016,48000,"Diesel","Manual","First",13.68,2393,147.8,7,20.25
"Audi","Audi A6 2011-2015 2.0 TDI Technology","Kochi",2015,31652,"Diesel","Automatic","First",17.68,1968,174.33,5,26.78
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Kochi",2014,61726,"Diesel","Automatic","First",17.68,1968,174.33,5,20.77
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI SPORT","Delhi",2015,48000,"Diesel","Automatic","First",17.9,2143,136,5,20.26
"Mercedes-Benz","Mercedes-Benz GLE 250d","Hyderabad",2017,29000,"Diesel","Automatic","First",17.9,2143,201.15,5,57
"Land","Land Rover Range Rover HSE Dynamic","Delhi",2017,44000,"Diesel","Automatic","First",12.7,2179,187.7,5,44
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Kochi",2014,51495,"Diesel","Automatic","First",17.68,1968,174.33,5,21.95
"BMW","BMW 6 Series 640d Gran Coupe","Mumbai",2011,30000,"Diesel","Automatic","First",9.52,2993,313,4,49
"Audi","Audi Q7 45 TDI Quattro Technology","Coimbatore",2017,97430,"Diesel","Automatic","First",14.75,2967,245,7,62.67
"BMW","BMW 3 Series Luxury Line","Kochi",2015,30717,"Diesel","Automatic","Second",21.76,1995,190,5,25.99
"Jaguar","Jaguar XF 2.0 Diesel Portfolio","Hyderabad",2017,21000,"Diesel","Automatic","First",19.33,1999,177,5,52
"Skoda","Skoda Superb L&K 1.8 TSI AT","Kochi",2019,13747,"Petrol","Automatic","First",14.67,1798,177.46,5,27.3
"Mini","Mini Clubman Cooper S","Pune",2017,8350,"Petrol","Manual","First",13.8,1998,192,5,35
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI","Chennai",2015,38000,"Diesel","Automatic","First",17.9,2143,136,5,20
"Mercedes-Benz","Mercedes-Benz New C-Class 220","Chennai",2014,25000,"Diesel","Manual","First",15.8,2148,170,5,26
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde","Jaipur",2014,59364,"Diesel","Automatic","First",14.21,2143,203,5,26.5
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 Edition E","Bangalore",2017,33900,"Diesel","Automatic","First",15,2143,204,5,37
"Jaguar","Jaguar XE Portfolio","Mumbai",2017,9000,"Petrol","Automatic","First",13.5,1999,246.74,5,34.5
"Mini","Mini Cooper Convertible 1.6","Bangalore",2015,20000,"Petrol","Automatic","First",18.86,1598,122,4,32
"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 S 350 CDI","Coimbatore",2017,56451,"Diesel","Automatic","First",13.5,2987,282,5,62.81
"Land","Land Rover Range Rover 2.2L Dynamic","Hyderabad",2012,56000,"Diesel","Automatic","First",12.7,2179,187.7,5,30
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Pune",2010,85001,"Diesel","Automatic","Second",12,2987,224,7,28
"Mitsubishi","Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop","Hyderabad",2018,12000,"Diesel","Automatic","First",13.5,2477,175.56,7,28
"Land","Land Rover Range Rover 2.2L Prestige","Coimbatore",2017,34990,"Diesel","Automatic","First",12.7,2179,187.7,5,53.83
"BMW","BMW 5 Series 525d Sedan","Hyderabad",2013,56000,"Diesel","Automatic","First",16.73,2993,218,5,33.5
"Jaguar","Jaguar XF Diesel","Bangalore",2013,75000,"Diesel","Automatic","First",14.74,2993,270.9,5,27.95
"Audi","Audi Q3 35 TDI Quattro Premium","Kochi",2017,37542,"Diesel","Automatic","First",15.73,1968,174.33,5,25.71
"Land","Land Rover Range Rover 2.2L Pure","Coimbatore",2014,95649,"Diesel","Automatic","First",12.7,2179,187.7,5,29.67
"BMW","BMW 3 Series Luxury Line","Mumbai",2015,41000,"Diesel","Automatic","First",21.76,1995,190,5,25.5
"Mercedes-Benz","Mercedes-Benz GLC 43 AMG Coupe","Coimbatore",2018,22397,"Petrol","Automatic","First",11.5,2996,367,5,70.99
"Audi","Audi A6 35 TFSI Matrix","Mumbai",2016,47000,"Petrol","Automatic","First",15.26,1798,187.74,5,24.5
"Mini","Mini Cooper Convertible S","Mumbai",2014,11900,"Petrol","Automatic","First",16.82,1998,189.08,4,28.5
