"Features_subset","number_of_features","Adj_R_sqr","AIC"
"Mark",1,0.555177978829001,24772.9753471489
"Location",1,0.502763922535774,25331.8134665764
"Mark ; Location",2,0.599441024407942,24242.0746647657
"Fuel_Type",1,0.503929091580904,25311.7203177159
"Mark ; Fuel_Type",2,0.583324121875818,24437.6775428603
"Location ; Fuel_Type",2,0.549274638241125,24827.0617489866
"Mark ; Location ; Fuel_Type",3,0.630917588000039,23821.7596012967
"Transmission",1,0.476424326971813,25589.168502374
"Mark ; Transmission",2,0.565679848721355,24650.6854641683
"Location ; Transmission",2,0.517136342746164,25181.4652062412
"Mark ; Location ; Transmission",3,0.607655726381454,24136.1452022989
"Fuel_Type ; Transmission",2,0.530077310915511,25033.3018990866
"Mark ; Fuel_Type ; Transmission",3,0.600238637781216,24224.8366856756
"Location ; Fuel_Type ; Transmission",3,0.572913259079375,24550.0842246701
"Mark ; Location ; Fuel_Type ; Transmission",4,0.644686985903847,23626.5642228945
"Owner_Type",1,0.492154225702261,25431.7690781276
"Mark ; Owner_Type",2,0.589922580494104,24354.3158694282
"Location ; Owner_Type",2,0.529402607061489,25048.6912117869
"Mark ; Location ; Owner_Type",3,0.62876397034353,23850.7887165321
"Fuel_Type ; Owner_Type",2,0.532368611102559,25008.0806712523
"Mark ; Fuel_Type ; Owner_Type",3,0.61418365038552,24041.6241953434
"Location ; Fuel_Type ; Owner_Type",3,0.572070599686726,24560.2550826555
"Mark ; Location ; Fuel_Type ; Owner_Type",4,0.656163932432961,23457.1400872742
"Transmission ; Owner_Type",2,0.507957141239153,25269.6505640886
"Mark ; Transmission ; Owner_Type",3,0.599477782879656,24233.6541849226
"Location ; Transmission ; Owner_Type",3,0.543511520518991,24892.6209063185
"Mark ; Location ; Transmission ; Owner_Type",4,0.636183393232539,23747.6101704055
"Fuel_Type ; Transmission ; Owner_Type",3,0.557748307360998,24721.1454398526
"Mark ; Fuel_Type ; Transmission ; Owner_Type",4,0.629509994316068,23833.4574073447
"Location ; Fuel_Type ; Transmission ; Owner_Type",4,0.594998676823869,24277.1017303196
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type",5,0.668604306324162,23267.9762505059
"SEATS",1,0.481507032914793,25543.8268077172
"Mark ; SEATS",2,0.571865164013633,24581.6409793546
"Location ; SEATS",2,0.523050209780805,25122.8629094459
"Mark ; Location ; SEATS",3,0.616092265323609,24028.9394003197
"Fuel_Type ; SEATS",2,0.512480020779388,25227.9921276656
"Mark ; Fuel_Type ; SEATS",3,0.594317025487592,24305.6778335658
"Location ; Fuel_Type ; SEATS",3,0.556759727532278,24746.631517034
"Mark ; Location ; Fuel_Type ; SEATS",4,0.641288870776136,23680.6360366283
"Transmission ; SEATS",2,0.50896090222144,25264.1071735239
"Mark ; Transmission ; SEATS",3,0.584770644264578,24424.7013474452
"Location ; Transmission ; SEATS",3,0.548147013715882,24844.9388734737
"Mark ; Location ; Transmission ; SEATS",4,0.626576926076583,23887.0491344791
"Fuel_Type ; Transmission ; SEATS",3,0.546022628578031,24861.1650691773
"Mark ; Fuel_Type ; Transmission ; SEATS",4,0.612559658800991,24069.2584651472
"Location ; Fuel_Type ; Transmission ; SEATS",4,0.587327842469369,24378.9015213127
"Mark ; Location ; Fuel_Type ; Transmission ; SEATS",5,0.656410671151642,23459.3843091756
"Owner_Type ; SEATS",2,0.512180519592354,25230.1629737901
"Mark ; Owner_Type ; SEATS",3,0.605436868554269,24161.2736698923
"Location ; Owner_Type ; SEATS",3,0.548367755479314,24842.4174653021
"Mark ; Location ; Owner_Type ; SEATS",4,0.64413954892616,23638.4745933802
"Fuel_Type ; Owner_Type ; SEATS",3,0.540558475464843,24922.9009638899
"Mark ; Fuel_Type ; Owner_Type ; SEATS",4,0.624632257781102,23905.9151182864
"Location ; Fuel_Type ; Owner_Type ; SEATS",4,0.579156972007577,24480.0707451726
"Mark ; Location ; Fuel_Type ; Owner_Type ; SEATS",5,0.665962122137984,23313.9097738388
"Transmission ; Owner_Type ; SEATS",3,0.538739483548766,24942.2918151171
"Mark ; Transmission ; Owner_Type ; SEATS",4,0.617150516184773,24006.7585983976
"Location ; Transmission ; Owner_Type ; SEATS",4,0.572637870147196,24558.3933460579
"Mark ; Location ; Transmission ; Owner_Type ; SEATS",5,0.653603573483236,23500.3789184577
"Fuel_Type ; Transmission ; Owner_Type ; SEATS",4,0.572906502711349,24547.1737229931
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; SEATS",5,0.64113974181743,23674.8464384176
"Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS",5,0.608638787732013,24106.3011328453
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS",6,0.679621402685118,23099.4654248061
"YEAR",1,0.663162378199451,23333.1421067461
"Mark ; YEAR",2,0.776831986536103,21234.7108676848
"Location ; YEAR",2,0.682175081612865,23043.2898939643
"Mark ; Location ; YEAR",3,0.794736830379753,20813.0639797715
"Fuel_Type ; YEAR",2,0.692317222271048,22867.989343555
"Mark ; Fuel_Type ; YEAR",3,0.792137371356524,20870.0862545204
"Location ; Fuel_Type ; YEAR",3,0.707411615810209,22618.3698546378
"Mark ; Location ; Fuel_Type ; YEAR",4,0.808040028045854,20469.289288123
"Transmission ; YEAR",2,0.673633179437524,23171.1898164173
"Mark ; Transmission ; YEAR",3,0.779202963073852,21180.5871351066
"Location ; Transmission ; YEAR",3,0.692153880806633,22879.6761862302
"Mark ; Location ; Transmission ; YEAR",4,0.796766333511815,20762.779837203
"Fuel_Type ; Transmission ; YEAR",3,0.709570854212739,22571.2024924134
"Mark ; Fuel_Type ; Transmission ; YEAR",4,0.796977938291124,20749.4922759745
"Location ; Fuel_Type ; Transmission ; YEAR",4,0.723326922370384,22330.763068353
"Mark ; Location ; Fuel_Type ; Transmission ; YEAR",5,0.81210522941948,20359.8284798332
"Owner_Type ; YEAR",2,0.663532337931982,23328.4670209321
"Mark ; Owner_Type ; YEAR",3,0.777501302205466,21220.2022837382
"Location ; Owner_Type ; YEAR",3,0.682926150604222,23032.0750577452
"Mark ; Location ; Owner_Type ; YEAR",4,0.795954357117439,20783.3544337987
"Fuel_Type ; Owner_Type ; YEAR",3,0.692677837814001,22862.9331203398
"Mark ; Fuel_Type ; Owner_Type ; YEAR",4,0.792689609618528,20857.3491198257
"Location ; Fuel_Type ; Owner_Type ; YEAR",4,0.708168506862251,22605.9973310446
"Mark ; Location ; Fuel_Type ; Owner_Type ; YEAR",5,0.809147857934956,20440.4118271552
"Transmission ; Owner_Type ; YEAR",3,0.674052215715305,23165.5556448724
"Mark ; Transmission ; Owner_Type ; YEAR",4,0.779895413887013,21165.3693314778
"Location ; Transmission ; Owner_Type ; YEAR",4,0.692945390348052,22867.3853873655
"Mark ; Location ; Transmission ; Owner_Type ; YEAR",5,0.797986895394927,20732.6850933741
"Fuel_Type ; Transmission ; Owner_Type ; YEAR",4,0.709993426319481,22564.6841039417
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; YEAR",5,0.797551886243326,20735.8739020194
"Location ; Fuel_Type ; Transmission ; Owner_Type ; YEAR",5,0.724136739815174,22316.6305644202
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; YEAR",6,0.813209850152225,20330.3914049813
"SEATS ; YEAR",2,0.677800843649828,23109.8471026097
"Mark ; SEATS ; YEAR",3,0.787757747123744,20981.6353981701
"Location ; SEATS ; YEAR",3,0.695401997685529,22829.9076042228
